Aging,Aver_thickness,Aver_pore_size,Total_pore_volume,Micropore_volume,Specific_surface_Area,Kinetic_diameter ,Critical_temp,Polarizability,Temperature,Delta_pressure,Feed_flow_rate,Molar_mass _sweep_gas,Sweep_gas_flow,Molar_fraction,Permeability
NaN,50,NaN,0.284064447,NaN,411,2.6,0,2.91,308,199000,NaN,NaN,NaN,1,193
NaN,50,NaN,0.236016975,NaN,219,2.6,0,2.91,308,199000,NaN,NaN,NaN,1,133
NaN,50,NaN,0.148687448,NaN,63,2.6,0,2.91,308,199000,NaN,NaN,NaN,1,105
NaN,50,NaN,0.148687448,NaN,53,2.6,0,2.91,308,199000,NaN,NaN,NaN,1,59
NaN,50,NaN,0.510642068,NaN,367,2.6,0,2.91,308,199000,NaN,NaN,NaN,1,157
NaN,50,NaN,0.197319374,NaN,83,2.6,0,2.91,308,199000,NaN,NaN,NaN,1,74
NaN,50,NaN,0.145004151,NaN,56,2.6,0,2.91,308,199000,NaN,NaN,NaN,1,33
NaN,50,NaN,0.12055247,NaN,41,2.6,0,2.91,308,199000,NaN,NaN,NaN,1,11
NaN,50,NaN,0.284064447,NaN,411,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.236016975,NaN,219,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,63,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,53,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.510642068,NaN,367,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.197319374,NaN,83,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.145004151,NaN,56,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.12055247,NaN,41,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.284064447,NaN,411,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.236016975,NaN,219,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,63,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,53,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.510642068,NaN,367,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.197319374,NaN,83,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.145004151,NaN,56,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.12055247,NaN,41,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.284064447,NaN,411,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.236016975,NaN,219,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,63,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,53,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.510642068,NaN,367,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.197319374,NaN,83,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.145004151,NaN,56,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.12055247,NaN,41,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.284064447,NaN,411,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.236016975,NaN,219,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,63,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,53,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.510642068,NaN,367,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.197319374,NaN,83,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.145004151,NaN,56,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.12055247,NaN,41,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.284064447,NaN,411,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.236016975,NaN,219,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,63,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,53,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.510642068,NaN,367,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.197319374,NaN,83,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.145004151,NaN,56,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.12055247,NaN,41,2.6,0,2.91,308,199000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.284064447,NaN,411,2.6,0,2.91,308,399000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.284064447,NaN,411,2.6,0,2.91,308,999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.284064447,NaN,411,2.6,0,2.91,308,1999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.284064447,NaN,411,2.6,0,2.91,308,2999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.284064447,NaN,411,2.6,0,2.91,308,3999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.236016975,NaN,219,2.6,0,2.91,308,399000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.236016975,NaN,219,2.6,0,2.91,308,999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.236016975,NaN,219,2.6,0,2.91,308,1999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.236016975,NaN,219,2.6,0,2.91,308,2999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.236016975,NaN,219,2.6,0,2.91,308,3999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,63,2.6,0,2.91,308,399000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,63,2.6,0,2.91,308,999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,63,2.6,0,2.91,308,1999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,63,2.6,0,2.91,308,2999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,63,2.6,0,2.91,308,3999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,53,2.6,0,2.91,308,399000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,53,2.6,0,2.91,308,999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,53,2.6,0,2.91,308,1999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,53,2.6,0,2.91,308,2999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.148687448,NaN,53,2.6,0,2.91,308,3999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.510642068,NaN,367,2.6,0,2.91,308,399000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.510642068,NaN,367,2.6,0,2.91,308,999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.510642068,NaN,367,2.6,0,2.91,308,1999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.510642068,NaN,367,2.6,0,2.91,308,2999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.510642068,NaN,367,2.6,0,2.91,308,3999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.197319374,NaN,83,2.6,0,2.91,308,399000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.197319374,NaN,83,2.6,0,2.91,308,999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.197319374,NaN,83,2.6,0,2.91,308,1999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.197319374,NaN,83,2.6,0,2.91,308,2999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.197319374,NaN,83,2.6,0,2.91,308,3999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.145004151,NaN,56,2.6,0,2.91,308,399000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.145004151,NaN,56,2.6,0,2.91,308,999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.145004151,NaN,56,2.6,0,2.91,308,1999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.145004151,NaN,56,2.6,0,2.91,308,2999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.145004151,NaN,56,2.6,0,2.91,308,3999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.12055247,NaN,41,2.6,0,2.91,308,399000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.12055247,NaN,41,2.6,0,2.91,308,999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.12055247,NaN,41,2.6,0,2.91,308,1999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.12055247,NaN,41,2.6,0,2.91,308,2999000,NaN,NaN,NaN,NaN,NaN
NaN,50,NaN,0.12055247,NaN,41,2.6,0,2.91,308,3999000,NaN,NaN,NaN,NaN,NaN
0,74.2,NaN,0.538376197,NaN,772.84,2.6,0,2.91,298,100000,NaN,4,NaN,NaN,NaN
51,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,4,NaN,NaN,NaN
102,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,4,NaN,NaN,NaN
414,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,700000,NaN,4,NaN,NaN,NaN
620,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,298,100000,NaN,4,NaN,NaN,NaN
620,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,293,20000,NaN,4,NaN,NaN,NaN
620,NaN,NaN,NaN,NaN,NaN,2.6,0,2.91,293,20000,NaN,4,NaN,NaN,NaN
